Name,States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
Peer-to-peer payments,chhattisgarh,2020,4,TOTAL,14257312,50812302052.952705
Merchant payments,chhattisgarh,2020,4,TOTAL,11677743,8238390462.202984
Recharge & bill payments,chhattisgarh,2020,4,TOTAL,9423324,3033918783.208999
Financial Services,chhattisgarh,2020,4,TOTAL,41308,48082346.06124696
Others,chhattisgarh,2020,4,TOTAL,129949,82280639.52262866
Peer-to-peer payments,chhattisgarh,2021,1,TOTAL,15621154,55638916992.13896
Merchant payments,chhattisgarh,2021,1,TOTAL,15222763,10661449529.109669
Recharge & bill payments,chhattisgarh,2021,1,TOTAL,8456094,3000977538.840563
Financial Services,chhattisgarh,2021,1,TOTAL,37395,40387648.84021996
Others,chhattisgarh,2021,1,TOTAL,99031,68111552.62215017
Peer-to-peer payments,chhattisgarh,2021,2,TOTAL,18387345,62134058797.4359
Merchant payments,chhattisgarh,2021,2,TOTAL,15369311,12828590761.713423
Recharge & bill payments,chhattisgarh,2021,2,TOTAL,10764784,3640692364.165052
Financial Services,chhattisgarh,2021,2,TOTAL,40213,39620256.36433959
Others,chhattisgarh,2021,2,TOTAL,127767,85809079.54731184
Merchant payments,chhattisgarh,2021,3,TOTAL,27552743,19905616746.805294
Peer-to-peer payments,chhattisgarh,2021,3,TOTAL,25447410,80506858751.32883
Recharge & bill payments,chhattisgarh,2021,3,TOTAL,11039088,4045490947.2382197
Financial Services,chhattisgarh,2021,3,TOTAL,38817,48855662.40142638
Others,chhattisgarh,2021,3,TOTAL,159880,99286155.00295877
Merchant payments,chhattisgarh,2021,4,TOTAL,40526025,29283695601.229546
Peer-to-peer payments,chhattisgarh,2021,4,TOTAL,32799167,102177997315.68285
Recharge & bill payments,chhattisgarh,2021,4,TOTAL,11115444,4724827139.9519415
Financial Services,chhattisgarh,2021,4,TOTAL,55237,66445873.296120845
Others,chhattisgarh,2021,4,TOTAL,221621,146144588.65236923
Merchant payments,chhattisgarh,2022,1,TOTAL,48236094,33822547183.04485
Peer-to-peer payments,chhattisgarh,2022,1,TOTAL,37457039,118393860520.57216
Recharge & bill payments,chhattisgarh,2022,1,TOTAL,11466264,5442872986.10511
Financial Services,chhattisgarh,2022,1,TOTAL,52918,55991695.312008664
Others,chhattisgarh,2022,1,TOTAL,200977,131773069.80038045
Merchant payments,chhattisgarh,2022,2,TOTAL,61093916,41536371583.74904
Peer-to-peer payments,chhattisgarh,2022,2,TOTAL,42532112,133534947239.2497
Recharge & bill payments,chhattisgarh,2022,2,TOTAL,12737942,5949415519.837789
Financial Services,chhattisgarh,2022,2,TOTAL,41530,46037703.16128763
Others,chhattisgarh,2022,2,TOTAL,178548,114905117.7834119
Merchant payments,chhattisgarh,2022,3,TOTAL,84355775,50874051122.3736
Peer-to-peer payments,chhattisgarh,2022,3,TOTAL,57116149,161027214428.20593
Recharge & bill payments,chhattisgarh,2022,3,TOTAL,16538894,8069941553.075293
Financial Services,chhattisgarh,2022,3,TOTAL,55775,61881709.73674865
Others,chhattisgarh,2022,3,TOTAL,185994,128469268.59740639
Merchant payments,chhattisgarh,2022,4,TOTAL,97405954,60247141797.94961
Peer-to-peer payments,chhattisgarh,2022,4,TOTAL,63986789,183672880692.7266
Recharge & bill payments,chhattisgarh,2022,4,TOTAL,16324117,8376603987.152398
Financial Services,chhattisgarh,2022,4,TOTAL,63695,81169069.23462963
Others,chhattisgarh,2022,4,TOTAL,179891,141385263.4082809
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2018,1,TOTAL,95544,17526369.5804541
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2018,1,TOTAL,44599,151966933.24607396
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2018,1,TOTAL,1531,1580762.779739072
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2018,1,TOTAL,1364,353171.5523814913
Others,dadra-&-nagar-haveli-&-daman-&-diu,2018,1,TOTAL,5511,4231146.95056825
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2018,2,TOTAL,122834,30595592.007682398
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2018,2,TOTAL,69215,261995613.05482048
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2018,2,TOTAL,3544,4685536.036433555
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2018,2,TOTAL,2996,383806.08546730166
Others,dadra-&-nagar-haveli-&-daman-&-diu,2018,2,TOTAL,4037,4410224.471747881
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2018,3,TOTAL,157113,39790820.29359456
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2018,3,TOTAL,119346,396698085.4104552
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2018,3,TOTAL,7465,5693604.7441260815
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2018,3,TOTAL,1477,297647.89589848556
Others,dadra-&-nagar-haveli-&-daman-&-diu,2018,3,TOTAL,4174,5159437.334100959
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2018,4,TOTAL,194214,582082154.4115133
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2018,4,TOTAL,185793,49972030.11285484
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2018,4,TOTAL,15739,19577328.03937304
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2018,4,TOTAL,2996,371674.6991335743
Others,dadra-&-nagar-haveli-&-daman-&-diu,2018,4,TOTAL,5340,6747429.538011953
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2019,1,TOTAL,408465,757657638.3173952
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2019,1,TOTAL,225998,62660761.88806932
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2019,1,TOTAL,20694,17043867.88608146
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2019,1,TOTAL,1645,221064.6189234741
Others,dadra-&-nagar-haveli-&-daman-&-diu,2019,1,TOTAL,5012,5786443.339431095
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2019,2,TOTAL,244134,734034142.8087387
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2019,2,TOTAL,198184,63874445.55241879
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2019,2,TOTAL,40781,20816136.241969176
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2019,2,TOTAL,748,155149.75618074698
Others,dadra-&-nagar-haveli-&-daman-&-diu,2019,2,TOTAL,5809,5561402.205763446
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2019,3,TOTAL,319142,104597035.07984878
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2019,3,TOTAL,249944,821178569.0593253
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2019,3,TOTAL,63616,30634658.237494454
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2019,3,TOTAL,533,425044.05141368794
Others,dadra-&-nagar-haveli-&-daman-&-diu,2019,3,TOTAL,5516,4636167.420289769
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2019,4,TOTAL,351819,125809568.35055912
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2019,4,TOTAL,324464,1051976410.5472054
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2019,4,TOTAL,86758,45361559.23824883
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2019,4,TOTAL,1019,267762.49056630814
Others,dadra-&-nagar-haveli-&-daman-&-diu,2019,4,TOTAL,4911,3225961.384460643
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2020,1,TOTAL,407577,153340696.30393675
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2020,1,TOTAL,329005,1119439489.5005136
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2020,1,TOTAL,137040,66713356.798143014
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2020,1,TOTAL,668,418783.1260904173
Others,dadra-&-nagar-haveli-&-daman-&-diu,2020,1,TOTAL,4289,2851043.563834071
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2020,2,TOTAL,525974,178877986.7248658
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2020,2,TOTAL,323909,1052118443.3664523
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2020,2,TOTAL,118801,68938500.71228051
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2020,2,TOTAL,1826,993268.2971840606
Others,dadra-&-nagar-haveli-&-daman-&-diu,2020,2,TOTAL,2642,1448254.787275234
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2020,3,TOTAL,455603,201223380.1868608
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2020,3,TOTAL,419524,1401020928.2319155
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2020,3,TOTAL,257572,143497844.49072367
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2020,3,TOTAL,1635,1778864.0123306382
Others,dadra-&-nagar-haveli-&-daman-&-diu,2020,3,TOTAL,3978,2268098.077531771
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2020,4,TOTAL,666995,2153786522.547576
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2020,4,TOTAL,631443,316510115.80515665
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2020,4,TOTAL,509971,224246669.7783347
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2020,4,TOTAL,2453,1683959.5099964456
Others,dadra-&-nagar-haveli-&-daman-&-diu,2020,4,TOTAL,6929,4283833.187441602
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2021,1,TOTAL,768921,2379220756.2230163
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2021,1,TOTAL,705821,367522132.38063604
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2021,1,TOTAL,442926,213177144.73200977
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2021,1,TOTAL,2243,1930008.9716834244
Others,dadra-&-nagar-haveli-&-daman-&-diu,2021,1,TOTAL,5333,3782868.8861592514
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2021,2,TOTAL,843550,2512913026.4279447
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2021,2,TOTAL,802899,430487473.930562
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2021,2,TOTAL,471136,208762964.0120024
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2021,2,TOTAL,1826,1763792.6506419359
Others,dadra-&-nagar-haveli-&-daman-&-diu,2021,2,TOTAL,5672,3741204.3977531465
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2021,3,TOTAL,1312241,706774071.9381688
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2021,3,TOTAL,1262732,3339347400.0643554
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2021,3,TOTAL,544322,253199754.8745275
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2021,3,TOTAL,2065,2252116.636459231
Others,dadra-&-nagar-haveli-&-daman-&-diu,2021,3,TOTAL,8110,4365759.277996017
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2021,4,TOTAL,2013673,1058989463.1650428
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2021,4,TOTAL,1577168,4202291071.7106133
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2021,4,TOTAL,551618,294991582.16815025
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2021,4,TOTAL,2909,3159306.4175118254
Others,dadra-&-nagar-haveli-&-daman-&-diu,2021,4,TOTAL,11717,6407962.869342193
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2022,1,TOTAL,2507246,1227972829.6970267
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2022,1,TOTAL,1745454,4674787017.541661
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2022,1,TOTAL,538134,326296370.82357025
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2022,1,TOTAL,2574,2661345.5534556974
Others,dadra-&-nagar-haveli-&-daman-&-diu,2022,1,TOTAL,9395,5330803.646676767
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2022,2,TOTAL,3346697,1536859131.3374817
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2022,2,TOTAL,1861799,5078832140.606572
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2022,2,TOTAL,539562,372921225.4254243
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2022,2,TOTAL,1849,2131607.7226029015
Others,dadra-&-nagar-haveli-&-daman-&-diu,2022,2,TOTAL,9864,4415675.718757721
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2022,3,TOTAL,3777156,1705567002.0586467
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2022,3,TOTAL,2086741,5382949597.510585
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2022,3,TOTAL,592431,425206924.5270094
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2022,3,TOTAL,2237,3194409.939898855
Others,dadra-&-nagar-haveli-&-daman-&-diu,2022,3,TOTAL,7056,3729425.46329771
Merchant payments,dadra-&-nagar-haveli-&-daman-&-diu,2022,4,TOTAL,4415771,1889046056.1988354
Peer-to-peer payments,dadra-&-nagar-haveli-&-daman-&-diu,2022,4,TOTAL,2215052,5737539058.403507
Recharge & bill payments,dadra-&-nagar-haveli-&-daman-&-diu,2022,4,TOTAL,548795,426040023.1105018
Financial Services,dadra-&-nagar-haveli-&-daman-&-diu,2022,4,TOTAL,2495,3169199.262533775
Others,dadra-&-nagar-haveli-&-daman-&-diu,2022,4,TOTAL,7472,3846409.1057498828
Recharge & bill payments,delhi,2018,1,TOTAL,3947297,1320559612.770412
Peer-to-peer payments,delhi,2018,1,TOTAL,2380820,9125685134.894358
Merchant payments,delhi,2018,1,TOTAL,339809,375393115.19131327
Financial Services,delhi,2018,1,TOTAL,136240,45588429.271575734
Others,delhi,2018,1,TOTAL,318588,344277514.7923026
Recharge & bill payments,delhi,2018,2,TOTAL,4511737,2078183615.8006349
Peer-to-peer payments,delhi,2018,2,TOTAL,3542716,14348179103.109837
Merchant payments,delhi,2018,2,TOTAL,837001,631597790.6002588
Financial Services,delhi,2018,2,TOTAL,205991,66584728.19594695
Others,delhi,2018,2,TOTAL,276278,321754664.4984691
Peer-to-peer payments,delhi,2018,3,TOTAL,8557153,22670122888.868217
Recharge & bill payments,delhi,2018,3,TOTAL,5305635,3261844270.537241
Merchant payments,delhi,2018,3,TOTAL,3808395,1048422633.7093576
Financial Services,delhi,2018,3,TOTAL,274526,45051151.35143036
Others,delhi,2018,3,TOTAL,601339,350405916.1523186
Peer-to-peer payments,delhi,2018,4,TOTAL,9973249,32389252494.75772
Merchant payments,delhi,2018,4,TOTAL,9958967,2738429838.939273
Recharge & bill payments,delhi,2018,4,TOTAL,7483633,3961160542.570066
Financial Services,delhi,2018,4,TOTAL,265004,58162003.43614492
Others,delhi,2018,4,TOTAL,1506866,575852739.0031943
Peer-to-peer payments,delhi,2019,1,TOTAL,20216287,48250023720.99173
Merchant payments,delhi,2019,1,TOTAL,13875931,3996618719.7994804
Recharge & bill payments,delhi,2019,1,TOTAL,10744978,5521320539.356212
Financial Services,delhi,2019,1,TOTAL,223095,30997039.697555833
Others,delhi,2019,1,TOTAL,1947036,670171769.6522964
Merchant payments,delhi,2019,2,TOTAL,20891431,6816878922.844399
Peer-to-peer payments,delhi,2019,2,TOTAL,20570311,65953571241.26435
Recharge & bill payments,delhi,2019,2,TOTAL,12869453,8035701902.391765
Financial Services,delhi,2019,2,TOTAL,137774,33985068.68378611
Others,delhi,2019,2,TOTAL,2702543,866678928.4439986
Merchant payments,delhi,2019,3,TOTAL,29453368,9857221391.940361
Peer-to-peer payments,delhi,2019,3,TOTAL,25201978,81904443496.29778
Recharge & bill payments,delhi,2019,3,TOTAL,11133404,10406524192.884487
Financial Services,delhi,2019,3,TOTAL,92061,27952186.986432005
Others,delhi,2019,3,TOTAL,3657065,1000670778.3478061
Peer-to-peer payments,delhi,2019,4,TOTAL,33040093,105858524152.38443
Merchant payments,delhi,2019,4,TOTAL,32537378,12864577363.070576
Recharge & bill payments,delhi,2019,4,TOTAL,11609898,9500486080.98845
Financial Services,delhi,2019,4,TOTAL,57063,21512527.973989226
Others,delhi,2019,4,TOTAL,3500565,779367300.4732571
Merchant payments,delhi,2020,1,TOTAL,33951545,14470782771.054684
Peer-to-peer payments,delhi,2020,1,TOTAL,32410795,108987600006.3667
Recharge & bill payments,delhi,2020,1,TOTAL,12822919,9498791147.929193
Financial Services,delhi,2020,1,TOTAL,46529,39908838.24852887
Others,delhi,2020,1,TOTAL,2515816,619460878.9909673
Peer-to-peer payments,delhi,2020,2,TOTAL,27155938,86227124454.10175
Merchant payments,delhi,2020,2,TOTAL,24963931,12708327043.868336
Recharge & bill payments,delhi,2020,2,TOTAL,13568505,8699886044.040596
Financial Services,delhi,2020,2,TOTAL,64790,75405868.16164647
Others,delhi,2020,2,TOTAL,288854,162694793.15869594
Peer-to-peer payments,delhi,2020,3,TOTAL,41498638,140074023548.15637
Merchant payments,delhi,2020,3,TOTAL,40973792,21858176583.0589
Recharge & bill payments,delhi,2020,3,TOTAL,13448341,12883226305.336546
Financial Services,delhi,2020,3,TOTAL,85689,114341865.2645722
Others,delhi,2020,3,TOTAL,485401,234194502.8442282
Merchant payments,delhi,2020,4,TOTAL,54581166,31106554562.7951
Peer-to-peer payments,delhi,2020,4,TOTAL,49631928,171546055992.1488
Recharge & bill payments,delhi,2020,4,TOTAL,14862946,12921793576.576857
Financial Services,delhi,2020,4,TOTAL,114862,160007919.76894268
Others,delhi,2020,4,TOTAL,1349515,530676173.2537967
Merchant payments,delhi,2021,1,TOTAL,72615587,39861532639.012344
Peer-to-peer payments,delhi,2021,1,TOTAL,61957428,210823551741.40936
Recharge & bill payments,delhi,2021,1,TOTAL,21164274,15447408658.778738
Financial Services,delhi,2021,1,TOTAL,153039,203106852.42387855
Others,delhi,2021,1,TOTAL,1468676,592745151.8683048
Merchant payments,delhi,2021,2,TOTAL,75620295,42933366743.23575
Peer-to-peer payments,delhi,2021,2,TOTAL,68497718,223034955527.75317
Recharge & bill payments,delhi,2021,2,TOTAL,25026678,15310096462.746447
Financial Services,delhi,2021,2,TOTAL,158170,190019761.49741396
Others,delhi,2021,2,TOTAL,854403,472659189.30861247
Merchant payments,delhi,2021,3,TOTAL,115250887,64006915630.53262
Peer-to-peer payments,delhi,2021,3,TOTAL,93292876,298005532606.47
Recharge & bill payments,delhi,2021,3,TOTAL,28427032,20934734871.908962
Financial Services,delhi,2021,3,TOTAL,144460,220660990.22066334
Others,delhi,2021,3,TOTAL,1645353,690472449.1489255
Merchant payments,delhi,2021,4,TOTAL,149204611,88990516304.07437
Peer-to-peer payments,delhi,2021,4,TOTAL,112380292,376556972334.1598
Recharge & bill payments,delhi,2021,4,TOTAL,30127352,22290161823.248642
Financial Services,delhi,2021,4,TOTAL,199280,287950130.24921745
Others,delhi,2021,4,TOTAL,771824,569713470.6592032
Merchant payments,delhi,2022,1,TOTAL,174454937,98212381475.57239
Peer-to-peer payments,delhi,2022,1,TOTAL,125111881,415305045689.30945
Recharge & bill payments,delhi,2022,1,TOTAL,29435981,22482865572.904938
Financial Services,delhi,2022,1,TOTAL,195184,271039329.10874933
Others,delhi,2022,1,TOTAL,1801878,693588769.393249
Merchant payments,delhi,2022,2,TOTAL,233412802,121657706565.01256
Peer-to-peer payments,delhi,2022,2,TOTAL,143447534,480685895058.7076
Recharge & bill payments,delhi,2022,2,TOTAL,32971294,26876059610.022118
Financial Services,delhi,2022,2,TOTAL,160827,209425798.82013166
Others,delhi,2022,2,TOTAL,641727,426563425.65446466
Merchant payments,delhi,2022,3,TOTAL,276635347,134292748569.06271
Peer-to-peer payments,delhi,2022,3,TOTAL,160580425,509428627035.3385
Recharge & bill payments,delhi,2022,3,TOTAL,37572389,33177115465.46472
Financial Services,delhi,2022,3,TOTAL,195218,265479580.4156591
Others,delhi,2022,3,TOTAL,608782,448676465.8346823
Merchant payments,delhi,2022,4,TOTAL,305621913,153114813286.24423
Peer-to-peer payments,delhi,2022,4,TOTAL,171970100,559069397370.8649
Recharge & bill payments,delhi,2022,4,TOTAL,36775874,31954251758.09231
Financial Services,delhi,2022,4,TOTAL,228639,299454652.77800566
Others,delhi,2022,4,TOTAL,606931,477098950.59646183
Recharge & bill payments,goa,2018,1,TOTAL,85991,18273814.162708722
Peer-to-peer payments,goa,2018,1,TOTAL,59651,268175048.06992978
Merchant payments,goa,2018,1,TOTAL,7880,11036031.735657964
Financial Services,goa,2018,1,TOTAL,1191,520105.642400422
Others,goa,2018,1,TOTAL,6184,5851742.732386975
Recharge & bill payments,goa,2018,2,TOTAL,120943,30994284.17044104
Peer-to-peer payments,goa,2018,2,TOTAL,87878,419492232.52410376
Merchant payments,goa,2018,2,TOTAL,12456,20162855.70611957
Financial Services,goa,2018,2,TOTAL,1903,733429.427283199
Others,goa,2018,2,TOTAL,6395,7221023.530667527
Recharge & bill payments,goa,2018,3,TOTAL,158797,40314972.94208837
Peer-to-peer payments,goa,2018,3,TOTAL,150297,639468418.1317002
Merchant payments,goa,2018,3,TOTAL,21587,26634198.178851012
Financial Services,goa,2018,3,TOTAL,1867,468171.36483984883
Others,goa,2018,3,TOTAL,6963,6281208.620754639
Peer-to-peer payments,goa,2018,4,TOTAL,246426,1021902315.4426756
Recharge & bill payments,goa,2018,4,TOTAL,212122,54832855.89468471
Merchant payments,goa,2018,4,TOTAL,45586,66666113.92145965
Financial Services,goa,2018,4,TOTAL,2523,723599.2328183289
Others,goa,2018,4,TOTAL,8098,8880194.430766659
Peer-to-peer payments,goa,2019,1,TOTAL,378848,1310759847.8146646
Recharge & bill payments,goa,2019,1,TOTAL,275277,78212835.0406034
Merchant payments,goa,2019,1,TOTAL,74527,75946974.41483101
Financial Services,goa,2019,1,TOTAL,2013,499592.0966860995
Others,goa,2019,1,TOTAL,8147,9904147.90979165
Peer-to-peer payments,goa,2019,2,TOTAL,373759,1391933790.7547765
Recharge & bill payments,goa,2019,2,TOTAL,278060,93218689.41694948
Merchant payments,goa,2019,2,TOTAL,104592,92873008.6474504
Financial Services,goa,2019,2,TOTAL,1211,515859.8076807977
Others,goa,2019,2,TOTAL,10819,13325754.760758925
Peer-to-peer payments,goa,2019,3,TOTAL,475178,1704668027.0159788
Recharge & bill payments,goa,2019,3,TOTAL,453806,157952854.9501171
Merchant payments,goa,2019,3,TOTAL,150578,123948570.56857497
Financial Services,goa,2019,3,TOTAL,1510,1282344.8444824044
Others,goa,2019,3,TOTAL,11344,12515394.117688328
Peer-to-peer payments,goa,2019,4,TOTAL,698728,2484453030.31845
Recharge & bill payments,goa,2019,4,TOTAL,552421,205602115.14625147
Merchant payments,goa,2019,4,TOTAL,250893,218404664.8638511
Financial Services,goa,2019,4,TOTAL,1497,649712.8451498008
Others,goa,2019,4,TOTAL,11733,14350825.325765317
Peer-to-peer payments,goa,2020,1,TOTAL,817198,2851686768.653684
Recharge & bill payments,goa,2020,1,TOTAL,678079,244739382.20701858
Merchant payments,goa,2020,1,TOTAL,373110,298421548.1046571
Financial Services,goa,2020,1,TOTAL,1762,1816477.5692472362
Others,goa,2020,1,TOTAL,11088,13707055.389155574
Recharge & bill payments,goa,2020,2,TOTAL,758617,241196540.9379891
Peer-to-peer payments,goa,2020,2,TOTAL,493326,1766723888.2025127
Merchant payments,goa,2020,2,TOTAL,221358,168591711.94693565
Financial Services,goa,2020,2,TOTAL,3081,3328361.317987765
Others,goa,2020,2,TOTAL,5710,3775927.611346662
Peer-to-peer payments,goa,2020,3,TOTAL,759351,2723430713.3444066
Recharge & bill payments,goa,2020,3,TOTAL,696770,280187505.0339355
Merchant payments,goa,2020,3,TOTAL,446880,353193881.4783259
Financial Services,goa,2020,3,TOTAL,4985,6418950.466847964
Others,goa,2020,3,TOTAL,7545,5112530.621144422
Peer-to-peer payments,goa,2020,4,TOTAL,1550251,5407626413.043346
Merchant payments,goa,2020,4,TOTAL,1389834,1123844212.5171819
Recharge & bill payments,goa,2020,4,TOTAL,839199,345088772.3784919
Financial Services,goa,2020,4,TOTAL,7287,10386560.386677971
Others,goa,2020,4,TOTAL,14810,12846789.254236266
Peer-to-peer payments,goa,2021,1,TOTAL,2235456,7553384653.1682
Merchant payments,goa,2021,1,TOTAL,2195509,1768358976.7158575
Recharge & bill payments,goa,2021,1,TOTAL,880682,410604192.7268899
Financial Services,goa,2021,1,TOTAL,8138,12207778.148638733
Others,goa,2021,1,TOTAL,11764,12687278.26183929
Merchant payments,goa,2021,2,TOTAL,1869384,1411529033.6650195
Peer-to-peer payments,goa,2021,2,TOTAL,1866837,6195032351.177256
Recharge & bill payments,goa,2021,2,TOTAL,953219,383804809.3560881
Financial Services,goa,2021,2,TOTAL,8303,12371843.844825167
Others,goa,2021,2,TOTAL,12392,10115549.032816991
Merchant payments,goa,2021,3,TOTAL,2865625,2143135314.897931
Peer-to-peer payments,goa,2021,3,TOTAL,2560305,7871092673.137299
Recharge & bill payments,goa,2021,3,TOTAL,1017351,438838003.22982365
Financial Services,goa,2021,3,TOTAL,8337,12943224.07382146
Others,goa,2021,3,TOTAL,16145,12416377.597493527
Merchant payments,goa,2021,4,TOTAL,5474662,4384250602.937038
Peer-to-peer payments,goa,2021,4,TOTAL,4408822,13618351952.666094
Recharge & bill payments,goa,2021,4,TOTAL,1170180,585734312.4063727
Financial Services,goa,2021,4,TOTAL,11320,17101084.66037453
Others,goa,2021,4,TOTAL,23775,21819163.1997744
Merchant payments,goa,2022,1,TOTAL,6364271,4682000388.389215
Peer-to-peer payments,goa,2022,1,TOTAL,4640380,14449830641.555716
Recharge & bill payments,goa,2022,1,TOTAL,1177071,646403472.1135541
Financial Services,goa,2022,1,TOTAL,11677,17490493.19245399
Others,goa,2022,1,TOTAL,20699,20720407.595174044
Merchant payments,goa,2022,2,TOTAL,7812998,5736211013.6866455
Peer-to-peer payments,goa,2022,2,TOTAL,5097942,16372343177.228306
Recharge & bill payments,goa,2022,2,TOTAL,1279377,738765635.2807853
Financial Services,goa,2022,2,TOTAL,10666,13192736.02810038
Others,goa,2022,2,TOTAL,15071,12525197.296362752
Merchant payments,goa,2022,3,TOTAL,7595135,5112175255.359402
Peer-to-peer payments,goa,2022,3,TOTAL,4449008,13780955270.352726
Recharge & bill payments,goa,2022,3,TOTAL,1122869,657115143.5357426
Financial Services,goa,2022,3,TOTAL,9992,12650738.420843877
Others,goa,2022,3,TOTAL,11683,11368868.03761505
Merchant payments,goa,2022,4,TOTAL,10319138,6739205748.43176
Peer-to-peer payments,goa,2022,4,TOTAL,5652373,17421974714.962345
Recharge & bill payments,goa,2022,4,TOTAL,1195865,734121700.6400625
Financial Services,goa,2022,4,TOTAL,12147,15705663.126967767
Others,goa,2022,4,TOTAL,13151,13978544.178016864
Recharge & bill payments,gujarat,2018,1,TOTAL,3691952,878929080.9916563
Peer-to-peer payments,gujarat,2018,1,TOTAL,1738974,6318864759.888066
Merchant payments,gujarat,2018,1,TOTAL,145436,166036667.57089135
Financial Services,gujarat,2018,1,TOTAL,122117,27986679.009713165
Others,gujarat,2018,1,TOTAL,250296,186165067.5737218
